id,order,nodes,edges,loss
210,1,12,13,0.0
211,1,12,20,0.0
212,2,12,11,0.0
213,1,12,13,0.0
214,2,12,17,0.0
215,2,12,11,0.0
216,2,12,19,0.0
217,2,12,13,0.0
218,2,12,12,0.0
219,2,12,11,0.0
220,2,12,16,0.0
221,2,12,13,0.0
222,2,12,11,0.0
223,2,12,12,0.0
224,2,12,12,0.0
225,2,12,15,0.0
226,2,12,13,0.0
227,2,12,17,0.0
228,1,12,14,0.0
229,2,12,14,0.0
230,1,12,12,0.0
231,2,12,13,0.0
232,1,12,14,0.0
233,2,12,15,0.0
234,1,12,9,0.0
235,2,12,13,0.0
236,2,12,21,0.0
237,2,12,15,0.0
238,1,12,11,0.0
239,2,12,9,0.0
240,2,12,14,0.0
241,2,12,10,0.0
242,2,12,17,0.0
243,2,12,19,0.0
244,2,12,9,0.0
245,2,12,12,0.0
246,2,12,13,0.0
247,2,12,11,0.0
248,2,12,10,0.0
249,1,12,19,0.0
250,1,12,13,0.0
251,2,12,16,0.0
252,1,12,17,0.0
253,1,12,18,0.0
254,2,12,13,0.0
255,1,12,11,0.0
256,2,12,14,0.0
257,2,12,14,0.0
258,1,12,15,0.0
259,2,12,18,0.0
260,2,12,17,0.0
261,2,12,18,0.0
262,2,12,7,0.0
263,2,12,12,0.0
264,2,12,12,0.0
265,2,12,13,0.0
266,2,12,17,0.0
267,2,12,11,0.0
268,2,12,12,0.0
269,2,12,10,0.0
270,2,12,17,0.0
271,1,12,15,0.0
272,1,12,15,0.0
273,2,12,16,0.0
274,2,12,14,0.0
275,2,12,9,0.0
276,2,12,10,0.0
277,1,12,15,0.0
278,2,12,14,0.0
279,2,12,15,0.0
280,1,12,12,0.0
281,2,12,18,0.0
282,1,12,9,0.0
283,2,12,15,0.0
284,2,12,17,0.0
285,2,12,13,0.0
286,1,12,14,0.0
287,2,12,13,0.0
288,1,12,15,0.0
289,2,12,13,0.0
290,1,12,15,0.0
291,1,12,17,0.0
292,1,12,15,0.0
293,2,12,14,0.0
294,2,12,18,0.0
295,2,12,12,0.0
296,1,12,11,0.0
297,2,12,13,0.0
298,2,12,20,0.0
299,2,12,14,0.0
300,2,12,21,0.0
301,2,12,12,0.0
302,1,12,16,0.0
303,2,12,17,0.0
304,2,12,11,0.0
305,1,12,14,0.0
306,1,12,12,0.0
307,1,12,10,0.0
308,2,12,14,0.0
309,2,12,15,0.0
310,1,12,15,0.0
311,2,12,12,0.0
312,1,12,12,0.0
313,1,12,18,0.0
314,2,12,13,0.0
315,1,12,16,0.0
316,2,12,16,0.0
317,2,12,16,0.0
318,2,12,13,0.0
319,2,12,15,0.0
320,2,12,12,0.0
321,2,12,14,0.0
322,2,12,15,0.0
323,2,12,13,0.0
324,2,12,10,0.0
325,2,12,14,0.0
326,2,12,16,0.0
327,2,12,13,0.0
328,1,12,16,0.0
329,2,12,11,0.0
330,1,12,15,0.0
331,2,12,15,0.0
332,2,12,14,0.0
333,1,12,12,0.0
334,1,12,20,0.0
335,2,12,16,0.0
336,1,12,11,0.0
337,2,12,14,0.0
338,2,12,14,0.0
339,1,12,14,0.0
340,2,12,16,0.0
341,2,12,11,0.0
342,2,12,18,0.0
343,2,12,13,0.0
344,2,12,16,0.0
345,2,12,20,0.0
346,2,12,10,0.0
347,2,12,16,0.0
348,2,12,16,0.0
349,2,12,19,0.0
350,2,12,14,0.0
351,2,12,19,0.0
352,2,12,12,0.0
353,2,12,19,0.0
354,1,12,14,0.0
355,2,12,10,0.0
356,2,12,17,0.0
357,2,12,12,0.0
358,2,12,12,0.0
359,2,12,15,0.0
360,1,12,17,0.0
361,2,12,15,0.0
362,1,12,16,0.0
363,1,12,16,0.0
364,2,12,12,0.0
365,2,12,9,0.0
366,2,12,12,0.0
367,2,12,10,0.0
